Latitude,Longitude
29.6540182,-82.331194
37.6443944,-77.4085792
42.2983093,-83.2773225
42.9295916,-78.7348276
43.101855,-75.235125
41.1122329,-83.217729
40.0740538,-76.2097408
41.7163619,-71.427582
41.933776,-87.917411
39.1624263,-94.4390839
38.6925909,-90.4054102
41.6813365,-81.3322359
40.380861,-75.480188
43.8327429,-79.5109051
30.595127,-88.266219
14.534826,120.993407
26.0721635,-80.18375
22.372764,114.107426
25.838894,-80.3355979
25.756172,-80.2571
26.210206,50.573846
25.8352742,-80.3278102
19.2879539,-99.1350888
1.352083,103.819836
40.7555757,-96.6525756
42.3303244,-87.8949828
33.6443717,-117.7159089
-33.7488353,150.9036756
45.7913584,-108.4936834
39.7643622,-75.3551959
37.4115855,-76.8077505
36.743792,-76.557376
42.9663128,-78.845095
37.6443944,-77.4085792
37.6443944,-77.4085792
25.285447,51.53104
40.1091847,-83.1207466
37.248957,-93.243902
37.6443944,-77.4085792
38.0554875,-78.9510721
42.205893,-88.064231
18.4426962,-66.0651764
53.355176,-6.222439
3.077959,101.5866421
23.58589,58.405923
40.7572467,-80.1214446
33.8005342,-84.4961657
41.453434,-81.7259918
-33.364064,-70.744725
25.30525,51.499162
4.579152,-74.117085
47.886399,106.905744
1.352083,103.819836
42.4790323,-83.4645199
6.166624,-75.601009
34.0714824,-117.5316984
19.393991,-99.173961
34.2095931,-83.8905781
33.9348279,-84.3546017
35.9506908,-83.8350719
46.893181,-96.842045
40.315405,-80.119823
40.7933726,-81.3630384
29.4485798,-98.4064808
33.4463098,-86.8415999
42.10584,-76.815108
32.7711234,-96.982746
41.6608485,-86.157572
47.3938408,-122.2536872
40.775029,-82.529483
38.28805,-85.763242
41.8337728,-87.7702429
42.4958,-90.744546
48.7557397,-122.4572464
30.4395166,-88.8917545
40.6919589,-74.2269468
35.9326028,-77.7452302
32.7531104,-91.8869941
38.609357,-90.2736259
43.0592987,-88.2184413
44.1687816,-88.4649362
37.9165973,-122.3400014
40.8000543,-73.9145345
44.905543,-93.155785
39.7276266,-86.2615872
35.5787572,-97.5187139
32.9194661,-96.9242499
43.1807424,-88.0925427
32.063904,-81.0461009
26.072299,-80.210194
41.6378236,-80.1608742
39.2686786,-76.6484214
38.1691645,-85.7516041
41.2361122,-96.1570465
28.0027702,-82.3991574
40.1380737,-104.9780128
40.0690495,-75.0244258
35.3126381,-94.4067893
41.242253,-73.012974
41.1046955,-80.6567577
37.6874769,-122.4161546
42.9638397,-87.8870764
30.3402886,-81.6456928
36.175995,-79.7165494
40.1506041,-75.8561924
36.1804235,-86.895715
42.2769246,-83.2010439
42.0901902,-71.0127259
25.9037186,-80.3272608
29.759726,-95.311764
28.0044756,-82.0134373
28.6247237,-81.325702
35.70489,-81.1871199
38.952694,-94.7429259
34.123487,-77.898906
41.4249083,-81.3730229
40.4503092,-80.0225925
42.3336812,-71.7389318
39.856147,-75.464232
41.4377452,-81.648101
42.0418494,-75.8150766
39.2510366,-84.7701587
29.9614765,-90.1992283
-38.03243,145.134974
41.3380872,-81.6579375
41.9330752,-71.1330481
40.1809657,-75.3527968
41.2357677,-81.4869734
41.699571,-93.584396
40.8559064,-111.9087163
35.5927253,-80.8193745
42.505566,-94.168653
